date,daily_return
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,-0.001997003995005797
2016-01-08,-0.01945945945945939
2016-01-11,-0.05145167217934595
2016-01-12,-0.03293297171638898
2016-01-13,0.009214743589743698
2016-01-14,-0.05875347360063526
2016-01-15,0.046393926613243305
2016-01-18,-0.04675534058847219
2016-01-19,0.017336152219873016
2016-01-20,0.03366583541147133
2016-01-21,-0.02492963409730611
2016-01-22,-0.010721649484535922
2016-01-25,0.010004168403501436
2016-01-26,-0.025175402393726787
2016-01-27,-0.05292125317527517
2016-01-28,-0.022798390701832878
2016-01-29,-0.022415370539798665
2016-02-01,0.03649976602714073
2016-02-02,-0.01625282167042893
2016-02-03,0.017439192290041466
2016-02-04,0.011276499774469973
2016-02-05,0.012488849241748387
2016-02-15,-0.0370044052863436
2016-02-16,0.02378774016468442
2016-02-17,0.03217158176943692
2016-02-18,0.02251082251082257
2016-02-19,-0.011854360711261594
2016-02-22,0.01756640959725779
2016-02-23,0.005894736842105174
2016-02-24,-0.012557555462536438
2016-02-25,0.011021619330224504
2016-02-26,-0.07211740041928703
2016-02-29,-0.002259376412110223
2016-03-01,-0.0226449275362321
2016-03-02,0.02316960148285472
2016-03-03,0.05751811594202881
2016-03-04,-0.0034261241970020896
2016-03-07,0.02234636871508386
2016-03-08,-0.0025220680958385495
2016-03-09,-0.018120522545301422
2016-03-10,-0.0004291845493560842
2016-03-11,-0.026620867325032327
2016-03-14,0.020732245258050383
2016-03-15,0.013396715643906718
2016-03-16,-0.0072494669509596404
2016-03-17,0.015893470790378166
2016-03-18,0.019873150105708073
2016-03-21,0.027363184079602088
2016-03-22,0.010895883777239544
2016-03-23,-0.001996007984031906
2016-03-24,-0.004799999999999928
2016-03-25,-0.010852090032154425
2016-03-28,0.009345794392523475
2016-03-29,-0.015700483091787575
2016-03-30,-0.003680981595091969
2016-03-31,0.0311986863711002
2016-04-01,-0.009952229299363029
2016-04-05,0.0016083634901487493
2016-04-06,0.013247691690084351
2016-04-07,0.00633914421553093
2016-04-08,-0.02874015748031501
2016-04-11,0.009323064450750007
2016-04-12,0.004016064257027927
2016-04-13,0.005200000000000045
2016-04-14,0.01432550736171909
2016-04-15,0.002353864260494397
2016-04-18,-0.010176125244618483
2016-04-19,-0.005140371688414437
2016-04-20,0.0023847376788552897
2016-04-21,-0.034892942109436796
2016-04-22,-0.002465078060805348
2016-04-25,0.009060955518945752
2016-04-26,-0.004081632653061414
2016-04-27,0.008196721311475414
2016-04-28,-0.00569105691056902
2016-04-29,-0.004497138184791555
2016-05-03,0.003696098562628408
2016-05-04,0.016775777414075158
2016-05-05,-0.0004024144869213989
2016-05-06,0.002415458937198155
2016-05-09,-0.033333333333333444
2016-05-10,-0.02492729538845036
2016-05-11,0.004260758414997937
2016-05-12,-0.004242681374628832
2016-05-13,0.0055389859394971465
2016-05-16,-0.0025423728813557633
2016-05-17,0.00892098555649944
2016-05-18,-0.006736842105263056
2016-05-19,-0.005934718100890118
2016-05-20,-0.004264392324094015
2016-05-23,0.012847965738758233
2016-05-24,0.00042283298097237884
2016-05-25,-0.005494505494505412
2016-05-26,-0.003399915002124895
2016-05-27,-0.0008528784648188819
2016-05-30,0.0
2016-05-31,0.00298762270593252
2016-06-01,0.04553191489361699
2016-06-02,-0.004884004884004936
2016-06-03,0.0016359918200408753
2016-06-06,0.011841567986933643
2016-06-07,-0.004035512510088844
2016-06-08,-0.0028363047001621565
2016-06-13,-0.009752133279154794
2016-06-14,-0.03487894952810831
2016-06-15,-0.002551020408163227
2016-06-16,0.026854219948848963
2016-06-17,-0.006641760066417501
2016-06-20,0.005850396991224445
2016-06-21,0.00415454923140833
2016-06-22,-0.008688456764584192
2016-06-23,0.008764607679465772
2016-06-24,-0.0041373603640876494
2016-06-27,-0.016618196925633575
2016-06-28,0.015209125475285202
2016-06-29,0.012068248023304149
2016-06-30,0.004934210526315842
2016-07-01,0.0016366612111292714
2016-07-04,-0.003267973856209227
2016-07-05,0.023770491803278837
2016-07-06,0.0020016012810247894
2016-07-07,0.0059928086296443354
2016-07-08,0.0011914217633041918
2016-07-11,-0.0007933359777864582
2016-07-12,0.0003969829297340154
2016-07-13,0.03245579642857146
2016-07-14,0.0
2016-07-15,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-02-03,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
