factor_name,category,ic_mean,ic_std,icir,status
book_to_market,value,-0.011314744606192,0.2626345722442509,-0.0430817028752379,fail
earnings_yield,value,0.0028127040030144,0.2704040964815982,0.0104018542603916,weak
sales_to_price,value,-0.0092582698267605,0.2220178513927084,-0.0417005649261254,fail
momentum_12_1,momentum,0.0151196729463981,0.2735785292510205,0.0552662995440157,pass
momentum_1m,momentum,0.00580970768502,0.2598171773010962,0.0223607528392446,weak
idiosyncratic_vol,low_volatility,0.0013766678869406,0.2997329744542732,0.0045929811007519,weak
beta_1y,low_volatility,-0.0029539853091151,0.2306433858315559,-0.0128075873429664,fail
roe,quality,0.0003173402522541971,0.11178377132318414,0.002838875880620609,weak
gross_margin,quality,0.001955206196399319,0.10963286975910728,0.017834124024076258,weak
asset_turnover,quality,0.0062600846719423,0.09863883741227887,0.06346470453394684,pass
accruals,quality,-0.004839748454773533,0.06793879995394281,-0.07123688463815234,fail
